"batch","X_unit_id","X_last_judgment_at","any_comments","what_service_gives_better_results","what_service_gives_better_results.confidence","agba","agbb","agfa","agfb","b1a","b1b","b2a","b2b","b3a","b3b","b4a","b4b","b5a","b5b","d1a","d1b","d2a","d2b","d3a","d3b","d4a","d4b","d5a","d5b","dagb","dagf","dndcgb","dndcgf","f1a","f1b","f2a","f2b","f3a","f3b","f4a","f4b","f5a","f5b","id","ndcgba","ndcgbb","ndcgfa","ndcgfb","ov","query"
1,151312808,"4/6/2012 23:37:25","","They are both equally good",1,0.7,0.7,0.634,0.608,2,2,2,2,0,1,1,0,2,2,"e005600","e008435","e003615","e017154","e014017","e002968","e005255","e009227","e004070","e003615",0,0.026,-0.011755877,0.0541848348937279,88,71,89,76,14,44,41,24,85,89,15,0.757385722,0.769141599,0.684062309944666,0.629877475050938,1,"e000004"
1,151312809,"4/6/2012 23:52:14","","Service A",1,0.6,0.6,0.5,0.55,2,0,0,1,2,1,2,2,0,2,"e000716","d019564","e017571","e006375","e003707","e013691","e012958","e002988","d001459","e008102",0,-0.05,0.185752047,0.107683756199098,85,5,15,50,70,60,75,80,5,80,16,0.654808658,0.469056611,0.555201702296166,0.447517946097068,0,"e009003"
1,151312810,"4/6/2012 22:53:42","","Service B",1,0.7,0.7,0.61,0.68,2,1,0,2,2,1,1,1,2,2,"b003933","b009307","d012986","b003933","b016057","b004094","b007806","b007131","b003113","b003241",0,-0.0700000000000001,0.040383889,-0.07774008291857,80,70,5,80,80,65,60,35,80,90,17,0.71297956,0.672595671,0.610296631480564,0.688036714399134,1,"b005963"
1,151312811,"4/6/2012 21:28:34","","They are both equally good",1,0.8,0.8,0.698,0.664,2,1,1,2,2,2,1,2,2,1,"d012742","d000169","d014542","d018584","d010100","d000545","d011625","d017779","d004767","b009616",0,0.0339999999999999,0.0551553339999999,0.048305078876638,82,64,56,69,84,78,54,74,73,47,18,0.819972693,0.764817359,0.715047578289691,0.666742499413053,0,"d008359"
1,151312812,"4/6/2012 23:40:51","Service A was slightly better than B, because Service B includes a bluesy piano song.","Service A",1,0.9,0.9,0.7,0.74,1,2,2,2,2,2,2,1,2,2,"d000847","d001454","d018606","d004560","d003777","d012108","d000798","e007479","d005936","d009079",0,-0.04,-0.0965459280000001,-0.0992689219470739,44,80,80,82,79,73,71,63,76,72,19,0.830419897,0.926965825,0.657812170488793,0.757081092435867,0,"d010273"
1,151312813,"4/6/2012 21:21:52","","Service A",1,0.7,0.7,0.516,0.516,2,2,1,1,1,1,2,2,1,1,"e012868","e012868","e015218","e015218","e004994","e004994","e002901","e002901","b010693","b010693",0,0,0,0,68,68,49,49,30,30,79,79,32,32,20,0.742614278,0.742614278,0.543735861276708,0.543735861276708,5,"e012145"
1,151312814,"4/7/2012 01:03:59","","Service A",1,0.3,0.3,0.298,0.304,0,0,2,0,0,0,1,2,0,1,"b004526","b003741","a006865","a009161","e015290","b002385","b007657","b018932","b006538","b013694",0,-0.00600000000000001,0.075349551,0.026780083239155,20,25,62,10,0,0,57,70,10,47,21,0.28702044,0.211670889,0.296882992351707,0.270102909112552,0,"a002853"
1,151312815,"4/6/2012 21:35:48","","They are both equally bad",1,0.2,0.2,0.22,0.246,1,0,0,0,0,0,0,1,1,1,"e010393","a007069","f005918","f004968","f012659","f012659","f008982","a008443","a008302","a001670",0,-0.026,0.096545927,0.084410270156072,58,3,8,13,0,0,0,59,44,48,22,0.235182641,0.138636714,0.27156205434289,0.187151784186818,1,"a009161"
1,151312816,"4/6/2012 22:41:22","","Service A",1,0.5,0.5,0.314,0.244,1,2,2,1,0,1,2,0,0,1,"b007413","b019604","b000524","b004696","b012231","b006577","b014896","b009245","d003108","b007413",0,0.07,-0.066911211,0.00354293900026803,18,61,69,12,2,26,66,5,2,18,23,0.529634717,0.596545928,0.311120174115244,0.307577235114976,1,"b008450"
1,151312817,"4/6/2012 22:07:36","","Service B",1,0.5,0.5,0.47,0.456,2,0,1,2,2,0,0,1,0,2,"e015354","a004237","e016069","e004894","e006922","e016845","e016345","e001183","e001103","e004849",0,0.014,0.197507923,0.13545417674565,75,8,55,95,85,25,10,30,10,70,24,0.61573344,0.418225517,0.543933029535994,0.408478852790344,0,"e012576"
1,151312818,"4/6/2012 22:49:55","","They are both equally bad",1,0.1,0.1,0.144,0.18,0,1,1,0,0,0,0,0,0,0,"d016624","b007101","f015810","d002935","b010842","e019474","a000054","a007185","b002715","a007960",0,-0.036,-0.062586971,-0.073351413688554,0,40,40,0,2,5,20,10,10,35,25,0.106993132,0.169580103,0.131320285666323,0.204671699354877,0,"a005135"
1,151312819,"4/6/2012 23:38:49","","They are both equally bad",1,0.5,0.5,0.416,0.422,1,0,1,2,0,0,1,1,2,2,"b007656","b005721","a002934","a005229","b006717","b016439","a002066","a007434","a003298","a003298",0,-0.00600000000000001,0.06258697,0.026850500385971,38,9,38,71,0,10,56,45,76,76,26,0.480812487,0.418225517,0.39170979342439,0.364859293038419,1,"b016602"
1,151312820,"4/6/2012 23:48:48","None came close.","They are both equally good",0.6667,0.8,0.8,0.604,0.604,2,2,0,0,2,2,2,2,2,2,"b004870","b004870","e015137","e015137","b002647","b002647","a001054","a001054","b006254","b006254",0,0,0,0,68,68,7,7,66,66,74,74,87,87,27,0.786013735,0.786013735,0.57976984217711,0.57976984217711,5,"b016602"
1,151312821,"4/6/2012 21:34:40","","Service B",1,0.6,0.6,0.49,0.502,2,1,0,1,1,2,1,0,2,2,"b009401","a002800","f003748","b004077","b015975","a001440","b010888","b001100","a004114","a005408",0,-0.012,0.0508310940000001,0.015394517283576,82,43,0,60,40,76,38,0,85,72,28,0.628189509,0.577358415,0.512973698204808,0.497579180921232,0,"b012102"
1,151312822,"4/6/2012 21:47:43","","They are both equally good",1,0.5,0.5,0.49,0.49,2,2,1,1,1,1,0,0,1,1,"b000367","b000367","b001363","b001363","b007752","b007752","b008226","b008226","b017042","b017042",0,0,0,0,90,90,49,49,50,50,0,0,56,56,29,0.596545928,0.596545928,0.568362349191489,0.568362349191489,5,"b008990"
1,151312823,"4/6/2012 21:24:31","","They are both equally bad",1,0.4,0.4,0.39,0.394,1,0,0,1,0,0,1,2,2,1,"e016141","a005166","b002921","e000280","b003406","b009868","e000280","e019383","e013455","e016141",0,-0.004,0.055155334,0.051918147102807,47,6,19,48,6,8,48,88,75,47,30,0.373819355,0.318664021,0.378754108995124,0.326835961892317,2,"e010314"
1,151312824,"4/6/2012 22:43:30","","Service A",1,0.7,0.7,0.46,0.454,2,1,2,2,2,1,1,1,0,2,"f001994","b017443","a000571","f014605","a006605","e005637","b002892","b010615","b010740","a005952",0,0.00600000000000001,0.123165077,0.07503191047669,70,41,69,81,71,17,20,20,0,68,31,0.795760748,0.672595671,0.534678209199031,0.459646298722341,0,"a005589"
1,151312825,"4/6/2012 22:40:04","","They are both equally bad",1,0.9,0.9,0.78,0.72,2,2,1,2,2,2,2,2,2,1,"e005498","e005498","b002075","e011607","e002258","e005464","e017154","e005765","e017002","e002377",0,0.0600000000000001,-0.041390593,0.023688499344977,90,90,50,80,90,70,80,70,80,50,32,0.893006868,0.934397461,0.786678151370685,0.762989652025708,1,"e008019"
1,151312826,"4/6/2012 23:36:21","","They are both equally good",1,1,1,0.832,0.782,2,2,2,2,2,2,2,2,2,2,"b019087","f001904","b000918","b011674","b005927","b007752","b011674","b014963","f011559","b019087",0,0.0499999999999999,0,0.02760977249992,78,81,86,97,81,65,97,70,74,78,33,1,1,0.824711087627488,0.797101315127568,2,"f015638"
1,151312827,"4/6/2012 21:38:03","","They are both equally good",1,0.9,0.9,0.878,0.914,2,1,2,2,2,2,2,2,1,2,"d008369","d017710","d001556","d004926","d011987","d019896","d003725","d010069","d011646","d016702",0,-0.036,0.103977564,-0.00968505073910697,87,80,91,95,98,91,91,91,72,100,34,0.934397461,0.830419897,0.883375234246288,0.893060284985395,0,"d017427"
1,151312828,"4/6/2012 21:25:15","","They are both equally bad",1,0.3,0.3,0.38,0.4,1,0,0,0,0,1,0,0,2,2,"b010401","b015391","e015312","f010997","b015391","b010401","d012986","d012986","b014517","b008066",0,-0.02,0.084790051,0.020996399185749,60,35,5,15,35,60,5,5,85,85,35,0.30078518,0.215995129,0.392376205701405,0.371379806515656,3,"b005963"
1,151312829,"4/7/2012 00:44:17","","They are both equally good",0.5385,0.9,0.9,0.718,0.688,1,2,2,2,2,1,2,2,2,2,"d015663","d012238","d007374","d008716","d010399","d000452","d000386","d007374","d008716","d000386",0,0.03,-0.084790052,0.00150269732928499,64,77,67,70,87,59,71,67,70,71,36,0.830419897,0.915209949,0.703520100688232,0.702017403358947,3,"d005834"
1,151312830,"4/6/2012 21:36:58","","They are both equally good",1,0.4,0.4,0.498,0.494,1,1,0,1,1,0,2,0,0,2,"a003151","a003578","b006932","a003840","b017461","b006932","a004388","a005327","b008726","a000895",0,0.004,-0.00733980900000003,-0.00258695241839801,69,67,16,67,71,16,88,9,5,88,37,0.400438504,0.407778313,0.523760618605652,0.52634757102405,1,"a000369"
1,151312831,"4/6/2012 21:31:27","","They are both equally good",1,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,"e009250","e009250","b009868","e002773","e019117","e008252","e008252","b009868","b018038","e019117",0,0,0,0,5,5,5,5,5,5,5,5,5,5,38,0,0,0.05,0.05,4,"d017784"
1,151312832,"4/6/2012 23:32:17","","They are both equally good",1,0.9,0.9,0.636,0.628,2,2,2,2,2,1,2,2,1,2,"d000386","d007374","d001423","d001423","d012238","d004944","d007374","d008716","d019008","d012238",0,0.00800000000000001,0.019187512,0.034994274361979,71,67,80,80,77,20,67,70,23,77,39,0.934397461,0.915209949,0.670612398784684,0.635618124422705,3,"d005834"
1,151312833,"4/7/2012 01:18:50","","Service B",1,0.1,0.1,0.216,0.144,0,0,0,0,0,0,1,1,0,0,"e007742","e007742","e017044","e015420","d012346","d009234","d005628","d013762","d016951","d011850",0,0.072,0,0.063619707147083,0,0,20,0,10,24,66,31,12,17,40,0.073034175,0.073034175,0.171904983408254,0.108285276261171,1,"d005834"
1,151312834,"4/6/2012 22:05:57","","Service A",1,0.6,0.6,0.65,0.606,0,1,1,1,2,2,2,0,1,2,"b003438","a003578","a008405","a003736","b001881","b010133","a000357","b002879","b000189","b008653",0,0.044,-0.089114291,-0.063135873859288,16,67,66,65,85,85,92,3,66,83,41,0.488244124,0.577358415,0.56061788782329,0.623753761682578,0,"a000369"
1,151312835,"4/6/2012 22:19:34","","They are both equally bad",1,0,0,0.088,0.062,0,0,0,0,0,0,0,0,0,0,"b015365","e007941","d003331","a009434","e007615","e009163","e007941","e007259","b018564","d003331",0,0.026,0,0.0543787298899241,24,1,1,11,2,2,1,16,16,1,42,0,0,0.109383409866151,0.0550046799762269,2,"f007939"
1,151312836,"4/6/2012 22:50:48","","They are both equally bad",1,0.6,0.6,0.52,0.54,0,0,2,2,1,2,1,0,2,2,"a000987","f008973","a000115","a000115","a002196","a005327","e016660","b007296","b002025","b002025",0,-0.02,-0.011755877,-0.0216603608225009,30,30,80,80,40,70,40,20,70,70,43,0.503015568,0.514771445,0.491040008620152,0.512700369442653,2,"b011836"
1,151312837,"4/6/2012 22:40:46","","They are both equally good",1,0.4,0.4,0.396,0.382,1,1,0,0,0,1,2,0,1,2,"b016899","a001565","b007565","b007565","a004734","b016967","a000840","f003748","b005622","a000840",0,0.014,-0.00432424000000003,-0.009920998537988,48,55,9,9,0,44,83,0,58,83,44,0.381250991,0.385575231,0.379391337684048,0.389312336222036,2,"b012102"
1,151312838,"4/6/2012 21:23:32","","They are both equally good",1,0.2,0.2,0.272,0.208,0,0,0,0,2,0,0,1,0,1,"e014267","e014267","e014637","b006067","d008986","e014637","b019160","e009166","e007900","a004237",0,0.064,0.030943389,0.07252477464187,18,18,24,10,85,24,0,30,9,22,45,0.169580103,0.138636714,0.268357084702935,0.195832310061065,2,"d019573"
1,151312839,"4/6/2012 23:44:21","","They are both equally bad",1,0.1,0.1,0.146,0.172,0,1,0,0,0,0,0,0,1,0,"b005084","b004637","e008927","b004672","b017369","b005084","a002215","a007196","a004617","a001789",0,-0.026,-0.103977564,-0.1271216313695,0,55,0,0,0,0,29,0,44,31,46,0.065602539,0.169580103,0.100090055559815,0.227211686929315,1,"b009504"
1,151312840,"4/6/2012 22:52:53","","Service B",1,0.5,0.5,0.41,0.44,1,2,1,1,1,1,1,1,1,0,"e016732","e005447","e006375","e005442","e003806","e006375","e013691","e013691","e009197","d001459",0,-0.03,-0.103977564,-0.096201888416703,30,70,50,35,35,50,60,60,30,5,47,0.5,0.603977564,0.395096763031558,0.491298651448261,2,"e009003"
1,151312841,"4/6/2012 21:54:59","","Service B",1,0.9,0.9,0.674,0.77,1,2,2,1,2,2,2,2,2,2,"b010888","a000840","a008275","a003365","b005373","b007346","a007264","a008275","a005408","a004562",0,-0.096,-0.062586971,-0.14851524350422,38,83,77,67,72,73,78,77,72,85,48,0.830419897,0.893006868,0.62414894443426,0.77266418793848,1,"b012102"
1,151312842,"4/6/2012 22:49:22","","They are both equally bad",1,0,0,0.19,0.192,0,0,0,0,0,0,0,0,0,0,"a000002","b001408","e003646","e005074","a009389","b014491","e017889","e011502","e005074","e000421",0,-0.002,0,-0.002995502716022,13,19,28,12,5,11,37,38,12,16,49,0,0,0.182275884686361,0.185271387402383,1,"e010395"
1,151312843,"4/7/2012 00:55:14","","They are both equally good",1,1,1,0.804,0.83,2,2,2,2,2,2,2,2,2,2,"e000346","e007712","e017133","e001720","e006459","e000542","e007672","e007672","e002248","e002248",0,-0.0259999999999999,0,-0.041223731711352,75,85,74,79,81,79,80,80,92,92,50,1,1,0.787643224180097,0.828866955891449,2,"e004656"
1,151312844,"4/6/2012 23:22:21","","They are both equally good",1,0.9,0.8,0.77,0.78,2,1,2,2,1,1,2,2,2,2,"e006685","e016479","e001767","e002027","e016479","e013304","e008102","e016934","e002962","e019251",0.1,-0.01,0.169580103,0.019117481878138,75,65,95,90,65,65,80,75,70,95,201,0.915209949,0.745629846,0.776582406299744,0.757464924421606,1,"e009003"
1,151312845,"4/7/2012 00:03:57","Both services included modern music, which is very different.","They are both equally bad",1,0.3,0.4,0.288,0.42,1,0,1,2,0,0,0,1,1,1,"e008853","b013729","e002021","e018396","d008353","d008353","b002761","e006488","e019968","e008853",-0.1,-0.132,-0.010447204,-0.039654771902389,55,3,26,94,3,3,22,55,38,55,202,0.342175774,0.352622978,0.329254911230656,0.368909683133045,2,"e010207"
1,151312846,"4/7/2012 00:51:16","","They are both equally bad",1,0.2,0.1,0.288,0.254,2,0,0,1,0,0,0,0,0,0,"a008578","f009807","b004583","b014679","b015548","b001408","b010637","b004583","b005084","e019603",0.1,0.034,0.232167073,0.15055601331918,80,1,23,72,25,7,7,23,9,24,203,0.339160205,0.106993132,0.384973272232137,0.234417258912957,1,"e010700"
1,151312847,"4/6/2012 22:45:38","","They are both equally bad",1,0.4,0.5,0.47,0.416,1,0,1,1,0,1,1,2,1,1,"e000253","b007696","e006592","e014866","b002761","d013842","e012056","e012912","e011497","e002021",-0.1,0.054,0.011755877,0.11462461926342,55,7,47,59,22,39,49,77,62,26,204,0.415209949,0.403454072,0.477339919386393,0.362715300122973,0,"e010207"
1,151312848,"4/6/2012 23:51:16","","Service B",1,0.6,0.5,0.594,0.458,1,0,1,2,0,0,2,1,2,2,"b003940","f008240","a003256","b003438","f005187","e012234","a003298","a009930","a007776","a003298",0.1,0.136,0.135621145,0.17621028714363,66,23,55,68,30,11,67,60,79,67,205,0.553846662,0.418225517,0.593930017504983,0.417719730361353,1,"f019182"
1,151312849,"4/6/2012 21:42:22","","They are both equally good",1,0.8,0.9,0.652,0.764,1,2,2,2,1,1,2,2,2,2,"d003999","e006734","e004803","e003874","e005505","e010194","e006734","e000426","e001720","e006482",-0.1,-0.112,-0.169580103,-0.162678200944697,37,76,77,82,57,65,76,82,79,77,206,0.745629846,0.915209949,0.601583315415012,0.764261516359709,1,"e004656"
1,151312850,"4/6/2012 21:54:21","","They are both equally bad",1,0.1,0,0.14,0.058,0,0,1,0,0,0,0,0,0,0,"b016996","b010446","e009960","a007694","a003658","b014142","b009160","f005918","f012659","a001388",0.1,0.082,0.106993132,0.0945694807098347,0,0,55,7,0,0,15,8,0,14,207,0.106993132,0,0.139602698080396,0.0450332173705613,0,"a009161"
1,151312851,"4/6/2012 22:37:57","","They are both equally bad",1,0.5,0.6,0.456,0.506,2,0,2,1,0,1,1,2,0,2,"b014321","a007806","a009434","e000280","e016256","a008025","b009042","a001029","e010423","a007694",-0.1,-0.05,0.157124034,0.130757399671745,84,14,80,30,13,55,30,79,21,75,208,0.626180645,0.469056611,0.549502568790649,0.418745169118904,0,"a007204"
1,151312852,"4/6/2012 22:24:29","","They are both equally bad",1,0.2,0.1,0.252,0.206,0,0,0,1,0,0,0,0,2,0,"d000576","e002618","d009949","d016024","e003188","e012076","d009719","e003462","d012910","d004942",0.1,0.046,0.024211946,0.021295151390553,12,4,27,48,2,17,8,24,77,10,209,0.131205078,0.106993132,0.214580495835812,0.193285344445259,0,"d019428"
1,151312853,"4/6/2012 22:03:23","","They are both equally good",1,0.9,1,0.704,0.712,2,2,1,2,2,2,2,2,2,2,"b017688","b017041","b013168","b011004","b016967","a004279","a007105","a006844","a004412","a004412",-0.1,-0.00800000000000001,-0.106993132,0.0104841502990091,80,68,59,67,72,78,71,73,70,70,210,0.893006868,1,0.715229816957727,0.704745666658718,1,"b018710"
1,151312854,"4/6/2012 22:37:03","","They are both equally bad",1,0.2,0.1,0.238,0.194,0,0,0,0,0,0,0,1,2,0,"d009217","e006980","b014942","d003999","e000976","b014327","d010564","e006415","e012868","e019653",0.1,0.044,0.058170903,0.016073833212644,17,17,4,11,17,24,13,42,68,3,211,0.131205078,0.073034175,0.203253641122098,0.187179807909454,0,"e012145"
1,151312855,"4/7/2012 00:54:28","","They are both equally bad",1,0.3,0.4,0.352,0.332,0,2,0,0,1,0,0,1,2,1,"b006971","b012941","b007565","e001834","b009193","f003748","a006651","a001742","a004114","a008348",-0.1,0.02,-0.26180179,-0.103202248563182,13,79,9,0,51,0,18,59,85,28,212,0.215995129,0.477796919,0.287652061713628,0.39085431027681,0,"b012102"
1,151312856,"4/6/2012 21:42:44","","Service A",1,0.6,0.5,0.452,0.432,1,0,1,1,0,2,2,2,2,0,"a001388","e014293","b015975","b018405","e003012","b004870","a001054","b014849","b005137","d002799",0.1,0.02,0.131205077,0.02172887768278,39,15,31,52,8,68,74,80,74,1,213,0.553846662,0.422641585,0.417356966578095,0.395628088895315,0,"b016602"
1,151312857,"4/6/2012 22:20:53","","Service B",1,0,0.1,0.12,0.23,0,0,0,0,0,0,0,1,0,0,"e006980","e001105","e019653","b008188","b014327","b014327","b015359","e003907","b008188","e019653",-0.1,-0.11,-0.073034175,-0.08282295547278,17,14,3,13,24,24,3,61,13,3,214,0,0.073034175,0.12621475804327,0.20903771351605,3,"e012145"
1,151312858,"4/6/2012 22:20:57","","Service A",1,0.4,0.3,0.438,0.306,1,0,2,0,0,0,1,1,0,2,"b004439","a009858","a005601","a006836","b007022","a006938","a000354","b008350","b001721","a007776",0.1,0.132,0.25236129,0.258438152632289,65,9,70,9,23,18,58,38,3,79,215,0.456600542,0.204239252,0.497903737582626,0.239465584950337,0,"f019182"
1,151312859,"4/6/2012 21:32:52","","They are both equally good",1,0.9,1,0.76,0.75,2,2,2,2,2,2,2,2,1,2,"b001253","a002123","a003298","b018151","b006767","a008167","a002123","a003298","a004042","f015197",-0.1,0.01,-0.065602539,0.047199262612009,87,70,76,69,84,83,70,76,63,77,216,0.934397461,1,0.785053269723876,0.737854007111867,2,"b016602"
1,151312860,"4/6/2012 22:21:44","","Service A",1,0.1,0,0.114,0.046,0,0,1,0,0,0,0,0,0,0,"e008393","e005189","d001656","e007472","e015628","e008393","e015335","e018325","e013209","e015628",0.1,0.068,0.106993132,0.0796774566833507,1,0,53,13,3,1,0,6,0,3,217,0.106993132,0,0.12189172544114,0.0422142687577893,2,"d006696"
1,151312861,"4/6/2012 22:34:33","","They are both equally good",1,0.9,1,0.75,0.804,2,2,2,2,1,2,2,2,2,2,"e000421","e000346","e006482","e017133","e009025","e006459","e006865","e007672","e003874","e002248",-0.1,-0.054,-0.084790051,-0.042547858890869,74,75,77,74,61,81,81,80,82,92,218,0.915209949,1,0.745095365289228,0.787643224180097,0,"e004656"
1,151312862,"4/6/2012 21:51:08","","They are both equally bad",1,0.6,0.5,0.564,0.432,2,0,0,1,2,2,2,2,0,0,"b014849","e014293","b006210","b018405","b006767","b004870","a008167","b014849","e015137","d002799",0.1,0.132,0.232167073,0.208484601459475,80,15,28,52,84,68,83,80,7,1,219,0.654808658,0.422641585,0.60411269035479,0.395628088895315,1,"b016602"
1,151312863,"4/6/2012 22:35:14","","They are both equally good",1,0.6,0.7,0.68,0.69,1,1,1,2,1,2,2,0,1,2,"d015036","d000476","d012572","d004099","d012312","d009960","d015900","e013469","d014326","d016912",-0.1,-0.0099999999999999,-0.111317373,-0.028765994874952,75,70,45,90,70,85,80,10,70,90,220,0.573034175,0.684351548,0.67806827906432,0.706834273939272,0,"d017784"
1,151312864,"4/6/2012 22:45:09","","They are both equally good",1,0.5,0.4,0.506,0.442,1,1,0,0,2,1,2,0,0,2,"e004871","e003068","b016157","b007166","e005627","e004871","e015047","d000064","d005688","e001727",0.1,0.064,0.099653324,0.109855801449077,66,36,9,21,81,66,84,19,13,79,221,0.485228555,0.385575231,0.520218456386987,0.41036265493791,1,"e007332"
1,151312865,"4/6/2012 21:39:30","","Service B",1,0.4,0.5,0.366,0.566,2,0,0,0,2,2,0,2,0,1,"b014660","b005837","b007884","b009021","b005034","b017501","b006433","b005034","b003760","b005624",-0.1,-0.2,0.127489317,-0.026550320304703,85,20,0,19,84,90,0,84,14,70,222,0.508740308,0.381250991,0.449102171549221,0.475652491853924,1,"b008990"
1,151312866,"4/6/2012 21:32:21","","Service A",1,0.6,0.5,0.43,0.346,2,0,1,1,1,2,1,0,1,2,"f001994","a005799","b004345","b013148","b010615","a006605","b016270","f018166","a003089","b014081",0.1,0.084,0.26180179,0.201567468104427,70,0,47,30,20,71,43,0,35,72,223,0.669580103,0.407778313,0.480632876205805,0.279065408101378,0,"a005589"
